"","gene.id","radius","size","observed.tau_b","p.Decay","observed.cor","p.Sphere","p.Fisher","time"
"4111","MSRA",4,340,-0.145350742582652,0.000999000999000999,0,1,0.00790085392538984,1.15650796890259
"5128","CLEC5A",5,421,-0.112241000681817,0.002,0,1,0.0144292161968444,1.2977180480957
"5129","RNF150",5,433,-0.0920949947890323,0.001,0,1,0.00790775527898214,1.39118194580078
"5130","NRIP2",5,434,-0.0855193546400311,0.004,0,1,0.026085843671449,1.23298621177673
"79","SLC25A27",7,436,-0.0463251182090994,0.115,0,1,0.363724662321172,1.22489500045776
"671","KCNH8",6,430,-0.0812014881386894,0.019,0,1,0.0943030096964982,1.12410807609558
"5131","CSRP1",5,433,-0.063308185355356,0.036,0,1,0.155672508258937,1.32084202766418
"5132","CAPN11",5,424,-0.165959383965198,0.000999000999000999,0,1,0.00790085392538984,1.31977200508118
"5133","EOGT",5,428,-0.142489137758169,0.000999000999000999,0,1,0.00790085392538984,1.1806468963623
"672","RELT",6,436,-0.0636470288662582,0.043,0,1,0.178301872021409,1.37119698524475
"673","NR3C2",6,437,-0.0112697545195636,0.399,0,1,0.765598750974817,1.18666791915894
"674","REEP4",6,431,-0.139684318674213,0.000999000999000999,0,1,0.00790085392538984,1.24785709381104
"675","SPHKAP",6,436,-0.0997486619297548,0.004,0,1,0.026085843671449,1.33079409599304
"8","PHYHIP",8,437,-0.11562025944967,0.001,0,1,0.00790775527898214,1.08339595794678
"710","FAM96A",7,437,-0.101318436481754,0.003,0,1,0.0204274289709421,1.24423289299011
"711","PLA2R1",7,436,-0.0990331558072182,0.004,0,1,0.026085843671449,1.07216095924377
