"","gene.id","radius","size","observed.tau_b","p.Decay","time"
"4258","UROS",4,18,-0.209581439511607,0.143,5.11905694007874
"21001","BDH1",2,17,-0.0939336436627724,0.361,4.2233350276947
"21002","HMGCR",2,26,-0.0776580274715321,0.373,3.88170695304871
"31655","USF2",3,277,0.0119142118465556,0.598,4.15288686752319
"31656","SCGB1A1",3,319,0.0163330004134688,0.605,3.74273800849915
"31657","BIK",3,442,0.0110419150995909,0.628,4.96635413169861
"4259","BOK",4,1950,0.0129136159475112,0.754,4.75068593025208
"31658","SUGP2",3,538,-0.0177902514593528,0.301,3.76052904129028
"31659","FAM120A",3,423,0.0472993597972471,0.864,4.10647201538086
"31660","RBM12B",3,383,0.0189009790960764,0.642,4.1568489074707
"31661","CETP",3,710,-0.0364635047786324,0.128,3.88436698913574
"21003","QTRT1",2,7,-0.534522483824849,0.149,4.88699007034302
"123","ZRANB1",1,0,NA,1,4.11508083343506
"31662","CST3",3,631,-0.0074042677856477,0.436,4.98455095291138
"31663","LTF",3,761,-0.00966967419035772,0.401,5.04258108139038
"31664","TGFBI",3,1092,0.0229848284054615,0.83,5.13329386711121
"31665","ITM2B",3,631,-0.00206141546304965,0.487,4.60876202583313
"31666","RASGEF1A",3,767,0.038681570377967,0.898,4.29973196983337
"31667","RIN2",3,918,0.0210365436822277,0.766,4.41361403465271
"31668","SMUG1",3,93,-0.104075522619127,0.102,4.17545795440674
"31669","MUTYH",3,93,-0.19631011751512,0.01,4.60300493240356
"31670","NTHL1",3,93,-0.0953506285073441,0.135,4.63852214813232
"31671","TDG",3,610,-0.0265391920626467,0.204,3.89205002784729
"31672","MBD4",3,93,-0.097843455396425,0.13,4.60945200920105
"31673","HES6",3,211,-0.0392667252580582,0.232,4.41233706474304
"31674","HSPB8",3,172,-0.0245371174780018,0.364,4.81381011009216
"31675","HSBP1",3,184,-0.153999783704803,0.007,4.85668706893921
"21004","PIDD1",2,62,-0.00883304764066106,0.479,4.55717921257019
"21005","STOML2",2,91,0.108729843181352,0.859,3.93342995643616
"31676","DNAJA2",3,1408,0.0427200799532143,0.971,4.77392411231995
"31677","MZB1",3,200,0.00769392657169684,0.537,3.92583799362183
"31678","AHR",3,1158,-0.0417428773596686,0.046,4.5760440826416
"31679","MMP15",3,352,-0.0366140206238141,0.188,4.901780128479
"21006","KDM2A",2,57,0.0602090878873946,0.644,3.97571206092834
"31680","PHF8",3,696,0.0728379471603571,0.99,4.31616806983948
"31681","KDM3B",3,696,0.0731577123720991,0.99,3.92119002342224
"31682","PRMT7",3,696,0.0662370795751131,0.983,4.31152105331421
"21007","NSD3",2,53,-0.0821857268148454,0.289,4.31254315376282
"21008","ATF7IP",2,52,-0.188425306309236,0.044,3.92289996147156
"21009","NSD1",2,53,-0.0821857268148454,0.291,4.32721400260925
"21010","SUV39H2",2,53,-0.0896571565252859,0.273,4.38304018974304
"31683","KDM8",3,696,0.0639987230929196,0.98,3.87223792076111
"31684","KDM7A",3,696,0.0681328304732974,0.984,4.290452003479
"31685","SETD3",3,696,0.0737287216787811,0.989,3.88780212402344
"21011","DOT1L",2,56,-0.186355130673225,0.056,4.44825983047485
"31686","APBB3",3,538,0.0092825688755234,0.624,4.95371890068054
"31687","APBB2",3,538,-0.00205644602780826,0.505,4.55558395385742
"31688","APBA3",3,628,0.025147502007624,0.79,4.24027609825134
"31689","ZBTB14",3,204,0.0103547164953956,0.578,4.82364416122437
"31690","STAB1",3,631,0.0157164253583407,0.677,3.85797595977783
"31691","NR2F2",3,1023,-0.0305240777312522,0.124,4.37145614624023
